PlayerName,CourseName,LayoutName,Päivämäärä,Kaikki,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Timi,Varistonniitty,Main,2023-05-18 0836,89,29.0,4,5,4,4,5,4,4,4,4,5.0,6.0,4.0,7.0,6.0,5.0,8.0,5.0,5.0,,,,,,
Jarkko,Varistonniitty,Main,2023-05-18 0836,77,17.0,4,3,6,4,5,3,4,4,3,6.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,4.0,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-11 0623,58,,3,3,3,3,4,3,3,3,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-11 0623,61,3.0,3,3,4,2,5,3,3,5,4,5.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,,,,,,
Jarkko,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-11 0623,62,4.0,2,3,3,2,5,3,3,4,3,6.0,3.0,3.0,3.0,3.0,5.0,6.0,3.0,2.0,,,,,,
Par,Puolarmaari,Standard,2023-05-09 1513,60,,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,
Esko ,Puolarmaari,Standard,2023-05-09 1513,59,-1.0,3,3,2,3,6,3,3,2,3,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,
Sami,Puolarmaari,Standard,2023-05-09 1513,72,12.0,4,3,3,4,4,3,3,4,3,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,,,,
Timi,Puolarmaari,Standard,2023-05-09 1513,66,6.0,3,3,3,4,5,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,,,,
Tume,Puolarmaari,Standard,2023-05-09 1513,62,2.0,4,2,2,2,4,2,4,2,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,,,,
Kaskinen,Puolarmaari,Standard,2023-05-09 1513,43,7.0,3,4,3,3,6,4,3,4,2,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Make,Puolarmaari,Standard,2023-05-09 1513,66,6.0,3,3,3,5,4,4,3,4,3,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,
Par,Talin Frisbeegolfpuisto,Tali 2022,2023-05-09 0620,58,,5,3,3,3,3,3,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,
Esko ,Talin Frisbeegolfpuisto,Tali 2022,2023-05-09 0620,74,16.0,7,4,4,3,3,5,4,5,3,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,,,,,,
Jarkko,Talin Frisbeegolfpuisto,Tali 2022,2023-05-09 0620,81,23.0,8,3,3,5,5,5,5,4,2,6.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,
Par,Oittaan Ulkoilualue - Camping,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-07 0757,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
